05/04 07:30:25 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,AdNetworkDailyNotification [effectiveDay=58, serviceLevel=0.5314410000000002, price=0.0, qualityScore=0.4, campaignId=0, winner=NONE, cost=0.0]]
05/04 07:30:25 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,simulationStatus[58,222960,false,[]]]
05/04 07:30:25 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,BankStatus[-8.456400]]
05/04 07:30:25 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,(CampaignReport)]
05/04 07:30:25 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,AdNetworkDailyNotification [effectiveDay=59, serviceLevel=0.5314410000000002, price=0.0, qualityScore=0.4, campaignId=0, winner=NONE, cost=0.0]]
05/04 07:30:25 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,simulationStatus[59,213251,false,[]]]
05/04 07:30:25 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,(CampaignReport)]
05/04 07:30:25 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,AdNetworkDailyNotification [effectiveDay=60, serviceLevel=0.5314410000000002, price=0.0, qualityScore=0.4, campaignId=0, winner=NONE, cost=0.0]]
05/04 07:30:25 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,(CampaignReport)]
05/04 07:30:25 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,AdNetworkDailyNotification [effectiveDay=61, serviceLevel=0.5314410000000002, price=0.0, qualityScore=0.4, campaignId=0, winner=NONE, cost=0.0]]
05/04 07:30:26 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,(CampaignReport)]
05/04 07:30:26 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,AdNetworkDailyNotification [effectiveDay=62, serviceLevel=0.5314410000000002, price=0.0, qualityScore=0.4, campaignId=0, winner=NONE, cost=0.0]]
05/04 07:30:26 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,(CampaignReport)]
05/04 07:30:26 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,AdNetworkDailyNotification [effectiveDay=63, serviceLevel=0.5314410000000002, price=0.0, qualityScore=0.4, campaignId=0, winner=NONE, cost=0.0]]
05/04 07:30:26 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,BankStatus[-9.185400]]
05/04 07:30:26 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,(AdxPublisherReport)]
05/04 07:30:26 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,simulationStatus[60,204344,true,[]]]
07/04 20:56:27 SEVERE agentware.ServerConnection|(1) could not read
java.io.EOFException
	at java.io.DataInputStream.readInt(DataInputStream.java:392)
	at tau.tac.adx.agentware.ServerConnection.run(ServerConnection.java:216)
	at java.lang.Thread.run(Thread.java:724)
07/04 20:56:27 SEVERE agentware.SimClient|************************************************************
07/04 20:56:27 SEVERE agentware.SimClient|* Connection Lost
07/04 20:56:27 SEVERE agentware.SimClient|* Lost connection to localhost (will reconnect in 30 seconds)
07/04 20:56:27 SEVERE agentware.SimClient|************************************************************
